address	city	county	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	virtualVisit	zip	zipCodeLat	zipCodeLng
3785 Sixes Road, Canton, Ga 30014	Canton	Cherokee	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30014	33.6	-83.8
6120 Hickory Flat Highway, Canton, Ga 30115	Canton	Cherokee	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30115	34.2	-84.4
186 Paradise Blvd, Athens, Ga, 30607	Athens	Clarke	Drive-Thru	9Am-3Pm, Monday-Friday	No	"Testing At This Location Requires A Doctor'S Order. Your Doctor Must First Fill Out The Georgia Department Of Health Referral Form: Https://Dhpexternal.Dph.Ga.Gov/Spoc.Html
Followed By The Spoc Screening Form: Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess 
Based Upon The Cdc Criteria For Symptoms And Exposure, It Will Be Determined If You Are In Need Of Testing. If You Are Referred For Testing, You Will Be Given An Id Number And Directed To The Nearest Testing Location."	-	-	Athens Environmental Health Service	-	Georgia	Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess	-	30607	34.03	-83.45
3595 Atlanta Highway, Athens, Ga 30606	Athens	Clarke	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30606	33.94	-83.44
795 Oglethorpe Avenue Athens, Ga 30606	Athens	Clarke	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30606	33.94	-83.44
1199 Prince Ave., Athens, Ga 30606	Athens	Clarke	Screening Hotline	7Am-7Pm, Monday-Friday	No	At This Time, Testing Is Being Completed With A Physician Order And For Patients Who Meet Certain Criteria, As Provided By The Cdc And The Georgia Department Of Public Health. If You Are Experiencing Symptoms And Would Like To Be Screened To See If You Are Eligible For Testing, Call Their Screening Hotline At (866) 460-1119. You Will Be Directed To Your Nearest Testing Facility.	-	-	Piedmont Athens Regional	(866) 460-1119	Georgia	Https://Www.Piedmont.Org/Patients-Visitors/Coronavirus	-	30606	33.94	-83.44
2201 Mt Zion Pkwy, Morrow, Ga 30260	Morrow	Clayton	Drive-Thru	Monday Thru Friday 8:30 Am-5 Pm	No	To Receive A Test At One Of These Facilities, Please Contact Your Medical Provider Or Local Public Health Officials For A Referral: District 3-3 Clayton County Health District: (678) 479-2223	-	-	Children'S At Mount Zion	-	Georgia	Https://Www.11Alive.Com/Article/News/Health/Coronavirus/Coronavirus-Testing-Sites-Georgia/85-81940317-58Ff-4Bfb-901E-Fc00Fb1Fc995	-	30260	33.58	-84.33
2201 Mt Zion Pkwy, Morrow, Ga, 30260	Morrow	Clayton	Drive-Thru	10Am-4Pm, Monday-Friday	No	"Testing At This Location Requires A Doctor'S Order. Your Doctor Must First Fill Out The Georgia Department Of Health Referral Form: Https://Dhpexternal.Dph.Ga.Gov/Spoc.Html
Followed By The Spoc Screening Form: Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess 
Based Upon The Cdc Criteria For Symptoms And Exposure, It Will Be Determined If You Are In Need Of Testing. If You Are Referred For Testing, You Will Be Given An Id Number And Directed To The Nearest Testing Location."	-	-	Childrens At Mount Zion - Morrow	-	Georgia	Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess	-	30260	33.58	-84.33
8139 Tara Boulevard Jonesboro, Ga 30236	Jonesboro	Clayton	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30236	33.53	-84.33
4345 South Cobb Drive, Se, Smyrna, Ga 30080	Smyrna	Cobb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30080	33.87	-84.5
800 East West Connector Sw, Austell, Ga 30106	Austell	Cobb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30106	33.83	-84.64
2994 Atlanta Road, Smyrna, Ga 30080	Smyrna	Cobb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30080	33.87	-84.5
100 East Piedmont Road, Marietta, Ga 30066	Marietta	Cobb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30066	34.02	-84.5
2245 Callaway Rd Sw, Marietta, Ga 30008	Marietta	Cobb	Drive-Thru	Monday Thru Friday 8:30 Am-5 Pm, Saturday 9 Am-12 Pm	No	Testing Will Only Be Available To The Highest-Risk Individuals Whose Health May Impact The Entire Community, Like Healthcare Workers, First Responders, Teachers, And Nursing Home Residents. Testing Is Not Provided To The General Community At This Time.	-	-	Jim Miller Park	(844) 442-2681	Georgia	Https://Www.Cobbcounty.Org/Communications/News/Statement-Covid-19-Testing-Jim-R-Miller-Park	No	30008	33.9	-84.59
1101 Ocilla Rd, Douglas, Ga 31533	Douglas	Coffee	Drive-Thru	9Am-1Pm,Monday-Friday	No	"Testing At This Location Requires A Doctor'S Order. Your Doctor Must First Fill Out The Georgia Department Of Health Referral Form: Https://Dhpexternal.Dph.Ga.Gov/Spoc.Html
Followed By The Spoc Screening Form: Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess 
Based Upon The Cdc Criteria For Symptoms And Exposure, It Will Be Determined If You Are In Need Of Testing. If You Are Referred For Testing, You Will Be Given An Id Number And Directed To The Nearest Testing Location."	-	-	Coffee Regional Medical Center	(912) 384-1900	Georgia	Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess	-	31533	31.5	-82.8
275 Pine Rd, Newnan, Ga 30263	Newnan	Coweta	Drive-Thru	Monday Thru Friday 8:30 Am-5 Pm, Saturday 9 Am-12 Pm	No	"Testing At This Location Requires A Doctor'S Order. Your Doctor Must First Fill Out The Georgia Department Of Health Referral Form: Https://Dhpexternal.Dph.Ga.Gov/Spoc.Html
Followed By The Spoc Screening Form: Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess 
Based Upon The Cdc Criteria For Symptoms And Exposure, It Will Be Determined If You Are In Need Of Testing. If You Are Referred For Testing, You Will Be Given An Id Number And Directed To The Nearest Testing Location."	-	-	Coweta County Fair Grounds	-	Georgia	Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess	-	30263	33.4	-84.9
745 Poplar Road, Newnan, Ga 30265	Newnan	Coweta	Screening Hotline	7Am-7Pm, Monday-Friday	No	At This Time, Testing Is Being Completed With A Physician Order And For Patients Who Meet Certain Criteria, As Provided By The Cdc And The Georgia Department Of Public Health. If You Are Experiencing Symptoms And Would Like To Be Screened To See If You Are Eligible For Testing, Call Their Screening Hotline At (866) 460-1119. You Will Be Directed To Your Nearest Testing Facility.	-	-	Piedmont Newnan	(866) 460-1119	Georgia	Https://Www.Piedmont.Org/Patients-Visitors/Coronavirus	-	30265	33.42	-84.7
2738 North Decatur Road, Decatur, Ga 30003	Decatur	Dekalb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30003		
3435 Ashford Dunwoody Road Ne Atlanta, Ga 30319	Atlanta	Dekalb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30319	33.86	-84.35
3815 Clairmont Road	Atlanta	Dekalb	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Georgia	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	30319	33.86	-84.35
5809 Memorial Drive, Stone Mountain, Ga 30083	Stone Mountain	Dekalb	Drive-Thru	9Am-4Pm, Monday-Friday	No	"Testing At This Location Requires A Doctor'S Order. Your Doctor Must First Fill Out The Georgia Department Of Health Referral Form: Https://Dhpexternal.Dph.Ga.Gov/Spoc.Html
Followed By The Spoc Screening Form: Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess 
Based Upon The Cdc Criteria For Symptoms And Exposure, It Will Be Determined If You Are In Need Of Testing. If You Are Referred For Testing, You Will Be Given An Id Number And Directed To The Nearest Testing Location."	-	-	Dekalb County School System Transportation Dept	-	Georgia	Https://Sendss.State.Ga.Us/Sendss/Ncovspoc.Assess	-	30083	33.79	-84.2
135 Maple Street, Decatur, Ga 30030	Decatur	Dekalb	Clinic	By Appointment Only: Daily 3Pm-7Pm, Saturdays 10Am-5Pm	No	This Testing Site Is Only For Anyone With Symptoms Of Viral Illness Or Anyone With Exposure To A Person With Confirmed Covid-19 Infection. You Must Make An Appointment By Using Their Online Portal Https://Humanizingmedicine.Com/Covid-19-Testing/ Or Contacting Them Via Email At: Covidtesting@Humanizingmedicine.Com. At This Moment, There Is A Charge Of $150 To All Who Are Tested.	-	-	Humanizing Medicine	(470) 891-8140	Georgia	Https://Humanizingmedicine.Com/Covid-19-Testing/	-	30030	33.77	-84.29
4896 N Peachtree Rd., Dunwoody, Ga 30338	Dunwoody	Dekalb	Drive-Thru	Monday Thru Friday 8:30 Am-5 Pm, Saturday 9 Am-12 Pm	No	To Receive A Test At One Of These Facilities, Please Contact Your Medical Provider Or Local Public Health Officials For A Referral: District 3-5 Dekalb Health District: (404) 294-3701	-	-	Kingswood Church	-	Georgia	Https://Www.11Alive.Com/Article/News/Health/Coronavirus/Coronavirus-Testing-Sites-Georgia/85-81940317-58Ff-4Bfb-901E-Fc00Fb1Fc995	-	30338	33.94	-84.32
3702 2Nd Avenue, Columbus, Ga, 31094	Columbus	Dekalb	Drive-Thru	By Appointment Only.	No	This Testing Site Will Collect Samples For Testing By Appointment Only For Patients Who Meet The Cdc Criteria.	-	-	Mercy Med Of Columbus	(706) 507-9209	Georgia	Https://Mercymedcolumbus.Com/Coronavirus-Update-For-Parents/	-	31904	32.54	-85.01
