address	city	county	dateAvailable	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
2715 E. Battlefield St Springfield, Mo 65804	Springfield	Greene	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	65804	37.15	-93.25
1220 E Republic Street Springfield, Mo 65807	Springfield	Greene	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	65807	37.17	-93.33
1153 East Elm Street Springfield, Mo 65806	Springfield	Greene	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	65806	37.21	-93.3
1235 E Cherokee St, Springfield, Mo 65804	Springfield	Greene	-	Hospital	24 Hours	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, Please Call Mercy’S Clinical Support Line At (314)-251-0500 To Be Screened. If Instructed, You May Visit The Drive-Thru Testing Site.	-	-	Mercy Hospital Springfield	(417) 885-2000	Missouri	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	65804	37.15	-93.25
3801 S National Ave, Springfield, Mo 65807	Springfield	Greene	-	Hospital	24 Hours	To Qualify For Covid-19 Testing, You Must Have A Doctor'S Referral.	-	-	South Cox Hospital - West Pavilion	(417) 269-6000	Missouri	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	65807	37.17	-93.33
227 E Chestnut Expy, Springfield, Mo 65802	Springfield	Greene	-	Drive-Thru	Call To Confirm	"
To Qualify For Covid-19 Testing At This Location, You Must Have A Doctor'S Referral."	-	-	The Springfield-Greene County Health Department Testing Site	(417) 864-1658	Missouri	Https://Www.Mercy.Net/Service/Covid-19/	65802	37.2	-93.3
3351 Sw 3Rd Street Lees Summit, Mo 64081	Lees Summit	Jackson	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64081	38.91	-94.39
13101 State Line Road Kansas City, Mo 64145	Kansas City	Jackson	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64145	38.88	-94.59
17301 East Us 24 Highway Independence, Mo 64056	Independence	Jackson	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64056	39.11	-94.31
3201 South 7 Highway Blue Springs, Mo 64014	Blue Springs	Jackson	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64014	39.01	-94.25
1545 East 23Rd Street South Independence, Mo 64055	Independence	Jackson	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64055	39.05	-94.41
5310 Blueridge Boulevard Raytown, Mo 64133	Raytown	Jackson	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64133	39.02	-94.47
4750 Lees Summit Road Kansas City, Mo 64136	Kansas City	Jackson	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64136	39.01	-94.4
1315 West 23Rd Street Independence, Mo 64052	Independence	Jackson	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64052	39.07	-94.45
8144 Nw Prairie View Rd, Kansas City, Mo 64151	Kansas City	Jackson	-	Hospital	9 Am - 8 Pm Monday - Friday; 9 Am -  Pm Saturday; 10 Am - 5 Pm Sunday	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, Please Fill Out The Telemedicine Form Online Through Https://Www.Firstpointurgentcare.Org/Telemedicine To Set Up Your Appointment.	-	-	First Point Urgent Care Mo	(816) 505-3669	Missouri	Https://Www.Firstpointurgentcare.Org/Telemedicine	64151	39.21	-94.63
10015 N Ambassador Dr, Kansas City, Missouri 64153	Kansas City	Jackson	-	Drive-Thru	8 Am - 8 Pm Daily	To Access Curbside Care For Covid-19 Screening, Please Contact The Clinic To Make An Appointment Prior To Visiting. You May Set Up An Appointment Online At Www.Nextcare.Com Or By Calling.	-	-	Next Care Urgent Care	(816) 595-4000	Missouri	Https://Nextcare.Com/Curbside/	64153	39.29	-94.74
2741 Ne Mcbaine Dr, Lee'S Summit, Missouri 64064	Lee's Summit	Jackson	-	Drive-Thru	8 Am - 8 Pm Daily	To Access Curbside Care For Covid-19 Screening, Please Contact The Clinic To Make An Appointment Prior To Visiting. You May Set Up An Appointment Online At Www.Nextcare.Com Or By Calling.	-	-	Next Care Urgent Care	(816) 554-2600	Missouri	Https://Nextcare.Com/Curbside/	64064	38.99	-94.32
4741 S Arrowhead Dr # B, Independence, Mo 64055	Independence	Jackson	-	Hospital	8:30 Am - 9 Pm, Every Day	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Facility.	-	-	Urgent Care Of Kansas City	(816) 795-6000	Missouri	Http://Gotomyurgentcare.Com/	64055	39.05	-94.41
2120 Lone Star Drive	Arnold	Jefferson	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	63010	38.42	-90.4
 130 E Lockling Ave, Brookfield, Mo 64628	Brookfield	Linn	-	Hospital	Call To Confirm	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Location.	-	-	Pershing Memorial Hospital	(660) 258-2222	Missouri	Http://Www.Phsmo.Org/	64628	39.8	-93.0
1301 Platte Falls Road Platte City, Mo 64079	Platte City	Platte	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	64079	39.4	-94.8
1500 N Oakland Ave, Bolivar, Mo 65613	Bolivar	Polk	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	Hospital	24 Hours	Tests Require A Referral From A Physician.	-	-	Citizens Memorial Hospital	(417) 328-6501	Missouri	-	65613	37.6	-93.4
1926 Oak St, Unionville, Mo 63565	Unionville	Putnam	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	Hospital	Call To Confirm	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Location.	-	-	Putnam County Memorial Hospital	(660) 947-2411	Missouri	-	63565	40.5	-92.9
400 Mid Rivers Mall Road Saint Peters, Mo 63376	Saint Peters	Saint Charles	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	63376	38.8	-90.63
14400 Clayton Rd Ballwin, Mo 63011	Ballwin	Saint Louis	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	63011	38.61	-90.56
