address	city	county	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
597 West 11Th Street Panama City, Fl 32401	Panama City	Bay	Health Department	8Am - 5Pm, Monday - Friday	No	When Contacting, Must Be First Screened For Symptoms And Then You Will Be Referred To Clinic/Facility For Testing.	-	-	Main Location - Ullman Building	(850) 872-4455	Florida	Http://Www.Floridahealth.Gov/Programs-And-Services/County-Health-Departments/Index.Html	32401	30.16	-85.67
2309 East 15Th Street, Panama City, Florida 32405	Panama City	Bay	Urgent Care	"8Am-9Pm, Monday-Friday (Cst)
9Am-9Pm, Saturday (Cst) Closed: Noon -1:00 Pm
9Am-9Pm, Sunday (Cst) Closed: Noon - 1:00 Pm"	-	"Pancare Health Is Conducting Covid-19 Testing In Panama City, Panama City Beach, Marianna, Bristol, Port St. Joe, And Eastpoint. 
-Our Covid-19 Response Line Team Is Available At (850) 215-4181 Monday-Friday 9 Am-4 Pm To Conduct Phone Screenings
-Due To The High Call Volume, If Lines Are Busy Please Continue To Call Back."	-	-	Pancare Health Medical-Panama City	(850) 329-4725	Florida	Https://Pancarefl.Org/Panamacitymedical-Baycounty	32405	30.2	-85.67
955 West 23Rd Street	Panama City	Bay	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32405	30.2	-85.67
1801 N. Temple Avenue Starke, Fl 32091	Starke	Bradford	Health Department	7:30Am - 5:30Pm, Monday - Friday	No	This Facility Does Not Have Clinic Services. When Contacting, Must Be First Screened For Symptoms And Then You Will Be Referred To Clinic/Facility For Testing.	-	-	New River Health	(904) 964-7732	Florida	Http://Www.Floridahealth.Gov/Programs-And-Services/County-Health-Departments/Index.Html	32091	29.9	-82.1
2555 Judge Fran Jamieson Way Viera, Fl 32940	Viera	Brevard	Health Department	8Am - 5Pm, Monday - Friday	No	This Facility Does Not Have Clinic Services. When Contacting, Must Be First Screened For Symptoms And Then You Will Be Referred To Clinic/Facility For Testing.	-	-	Main Office - Viera Clinic	(321) 639-5800	Florida	Http://Www.Floridahealth.Gov/Programs-And-Services/County-Health-Departments/Index.Html	32940	28.2	-80.8
275 W. Cocoa Beach Cswy., Cocoa Beach, Florida 32931	Cocoa Beach	Brevard	Urgent Care	8Am-5Pm, 7 Days A Week	-	"Medfast Urgent Care Centers Now Has Testing Available For Covid-19 In Melbourne And Brevard County, Florida

Same Day, Physical Testing Available. A Phone Consultation Is Required Before Testing Can Be Administered. If You Meet The Criteria For A Test, We Will Assign You A Date, Time And Location For Testing.

We Ask That Anyone Who Is Experiencing Coronavirus Symptoms Immediately Call Us At 321-Medfast (633-3278) For A Phone Consultation And To Learn More About How To Get Testing."	-	-	Medfast Urgent Care - Cocoa Beach	(321) 799-7777	Florida	Https://Www.Medfastcare.Com/Urgent-Care-Centers/Cocoa-Beach.Html	32931	28.33	-80.62
206 East New Haven Avenue, Melbourne, Fl 32901	Melbourne	Brevard	Urgent Care	8Am-5Pm, 7 Days A Week	-	"Medfast Urgent Care Centers Now Has Testing Available For Covid-19 In Melbourne And Brevard County, Florida

Same Day, Physical Testing Available. A Phone Consultation Is Required Before Testing Can Be Administered. If You Meet The Criteria For A Test, We Will Assign You A Date, Time And Location For Testing.

We Ask That Anyone Who Is Experiencing Coronavirus Symptoms Immediately Call Us At 321-Medfast (633-3278) For A Phone Consultation And To Learn More About How To Get Testing."	-	-	Medfast Urgent Care - Melbourne (East New Haven Avenue)	(321) 802-3311	Florida	Https://Www.Medfastcare.Com/Urgent-Care-Centers/Melbourne.Html	32901	28.08	-80.62
2113 Sarno Road., Melbourne, Fl 32935	Melbourne	Brevard	Urgent Care	8Am-5Pm, 7 Days A Week	-	"Medfast Urgent Care Centers Now Has Testing Available For Covid-19 In Melbourne And Brevard County, Florida

Same Day, Physical Testing Available. A Phone Consultation Is Required Before Testing Can Be Administered. If You Meet The Criteria For A Test, We Will Assign You A Date, Time And Location For Testing.

We Ask That Anyone Who Is Experiencing Coronavirus Symptoms Immediately Call Us At 321-Medfast (633-3278) For A Phone Consultation And To Learn More About How To Get Testing."	-	-	Medfast Urgent Care - Melbourne (Sarno Rd.)	(321) 676-0558	Florida	Https://Www.Medfastcare.Com/Urgent-Care-Centers/Melbourne-Sarno-Rd.Html	32935	28.14	-80.64
1400 Rockledge Blvd/Route Us 1, Rockledge, Fl 32955	Rockledge	Brevard	Urgent Care	8Am-5Pm, 7 Days A Week	-	"Medfast Urgent Care Centers Now Has Testing Available For Covid-19 In Melbourne And Brevard County, Florida

Same Day, Physical Testing Available. A Phone Consultation Is Required Before Testing Can Be Administered. If You Meet The Criteria For A Test, We Will Assign You A Date, Time And Location For Testing.

We Ask That Anyone Who Is Experiencing Coronavirus Symptoms Immediately Call Us At 321-Medfast (633-3278) For A Phone Consultation And To Learn More About How To Get Testing."	-	-	Medfast Urgent Care - Rockledge	(321) 735-8960	Florida	Https://Www.Medfastcare.Com/Urgent-Care-Centers/Rockledge.Html	32955	28.29	-80.75
3045 Columbia Blvd, Suite A108, Titusville, Fl 32780	Titusville	Brevard	Urgent Care	8Am-5Pm, 7 Days A Week	-	"Medfast Urgent Care Centers Now Has Testing Available For Covid-19 In Melbourne And Brevard County, Florida

Same Day, Physical Testing Available. A Phone Consultation Is Required Before Testing Can Be Administered. If You Meet The Criteria For A Test, We Will Assign You A Date, Time And Location For Testing.

We Ask That Anyone Who Is Experiencing Coronavirus Symptoms Immediately Call Us At 321-Medfast (633-3278) For A Phone Consultation And To Learn More About How To Get Testing."	-	-	Medfast Urgent Care - Titusville	(321) 264-9176	Florida	Https://Www.Medfastcare.Com/Urgent-Care-Centers/Titusville.Html	32780	28.54	-80.85
1840 S. Washington Ave., Titusville, Florida 32780	Titusville	Brevard	Urgent Care	8Am-5Pm, 7 Days A Week	-	"Medfast Urgent Care Centers Now Has Testing Available For Covid-19 In Melbourne And Brevard County, Florida

Same Day, Physical Testing Available. A Phone Consultation Is Required Before Testing Can Be Administered. If You Meet The Criteria For A Test, We Will Assign You A Date, Time And Location For Testing.

We Ask That Anyone Who Is Experiencing Coronavirus Symptoms Immediately Call Us At 321-Medfast (633-3278) For A Phone Consultation And To Learn More About How To Get Testing."	-	-	Medfast Urgent Care - Titusville (Us1)	(321) 360-5577	Florida	Https://Www.Medfastcare.Com/Urgent-Care-Centers/Titusville-Us1.Html	32780	28.54	-80.85
7925 North Wickham Rd, Suite A, Melbourne, Fl 32940	Melbourne	Brevard	Urgent Care	8Am-5Pm, 7 Days A Week	-	"Medfast Urgent Care Centers Now Has Testing Available For Covid-19 In Melbourne And Brevard County, Florida

Same Day, Physical Testing Available. A Phone Consultation Is Required Before Testing Can Be Administered. If You Meet The Criteria For A Test, We Will Assign You A Date, Time And Location For Testing.

We Ask That Anyone Who Is Experiencing Coronavirus Symptoms Immediately Call Us At 321-Medfast (633-3278) For A Phone Consultation And To Learn More About How To Get Testing."	-	-	Medfast Urgent Care - Viera	(321) 751-7222	Florida	Https://Www.Medfastcare.Com/Urgent-Care-Centers/Viera.Html	32940	28.2	-80.8
1344 S. Apollo Blvd., Suite 102, Melbourne, Fl 32901	Melbourne	Brevard	Drive-Thru	8Am-6Pm, 7 Days A Week	-	"Patients Interested In Being Tested Can Make Appointments By Calling (321) 802-5515 Or Emailing Covid@Omnihealthcare.Com. Our Staff Is Working Tirelessly Seven Days A Week To Answer Every Call, Reply To All Emails And Return Calls Left In Voicemail. We Appreciate Your Patience.

The Melbourne Test Collecting Facility Operates Daily From 8:00 A.M. – 6:00 P.M. Testing Will Be Billed To Third Party Payers. Patients Without Insurance Will Be Charged $100 For Immunity Testing. Once Someone Is Determined To Be Immune And Determined To Be Free Of The Covid-19 Virus, The Current Consensus Is That They Are No Longer Infectious, Are Immune From Re-Infection, And Can Stop Social Distancing."	-	-	Omni Healthcare (Melbourne)	(321) 802-5515	Florida	Https://Www.Omnihealthcare.Com/	32901	28.08	-80.62
Pompano Beach, Fl	Pompano Beach	Broward	Drive-Thru	8Am - 5Pm, Monday - Friday	No	Testing At This Site Is By Appointment Only. You Must Call The Testing Site To Be Screened To Determine If You Are Eligible For Testing. You Will Also Need To Provide A Prescription From Your Doctor Referring You For Testing. Once The Medical Personnel Determine You Are Eligible For Testing, They Will Provide You With The Address Of The Testing Location.	-	-	Broward Health	(954) 320-5730	Florida	Https://Www.Miamiherald.Com/News/Coronavirus/Article241422246.Html	33061		
900 N. Flamingo Rd., Pembroke Pines, Fl 33028	Pembroke Pines	Broward	Drive-Thru	7:30Am-5Pm, Daily	No	Testing At This Site Is For First Responders And Healthcare Staff, Including Police, Fire-Rescue, Medical Staff And Essential Staff That Is Supporting The Management Agencies During The Novel Coronavirus Pandemic Who Are Showing Symptoms. People Who Are 65 Or Older With Covid-19 Symptoms And Have Chronic Conditions Can Also Be Tested, As Well As Those Individuals Who Are Experiencing Covid-19 Symptoms And Have Recently Traveled Internationally On A Cruise Or Plane Or Have A Compromised Immune System. Everyone Must Provide A Valid I.D. Card Upon Entry. You Must Call Their Hotline To Be Screened And To Set Up An Appointment.	-	-	C.B. Smith Park	(954) 276-4680	Florida	Https://Www.Miamiherald.Com/News/Coronavirus/Article241422246.Html	33028	26.02	-80.34
3700 Nw 11Th Pl., Lauderhill	Fort Lauderdale	Broward	Drive-Thru	Cal For More Information	No	Ndividuals Seeking Testing Must Be Prescreened To Ensure They Meet Cdc And Florida Department Of Health Testing Guidelines. Patients Must Have A Prescription From A Doctor And Be Preregistered For An Appointment Through The Broward Health Call Center. Those Who Don'T Have A Personal Physician Can Call The Number To Speak With A Nurse. To Be Tested, A Photo Id And Confirmation Number From Broward Health Are Required	-	-	Central Broward Park	954-320-5730.	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605473	33311	26.13	-80.16
2950 Cleveland Clinic Blvd, Weston, Fl 33331	Weston	Broward	Drive-Thru	8Am - 5Pm, Monday - Friday	No	Testing At This Site Is By Appointment Only. You Must Call The Testing Site To Be Screened By A Nurse To Determine If You Are Eligible For Testing. If The Nurse Determines That You Meets The Critieria, They Will Be Given A Confirmation Number And Given An Appointment Time.	-	-	Cleveland Clinic Florida	(954) 659-595	Florida	Https://Www.Miamiherald.Com/News/Coronavirus/Article241422246.Html	33331	26.06	-80.37
1700 South Federal Highway, Fort Lauderdale, Fl 33316	Fort Lauderdale	Broward	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33316	26.09	-80.12
1501 South Federal Highway, Pompano Beach, Fl 33062	Pompano Beach	Broward	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33062	26.25	-80.09
12401 Miramar Parkway, Miramar, Fl 33027	Miramar	Broward	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33027	25.98	-80.34
4610 South University Drive Davie, Fl 33328	Davie	Broward	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33328	26.07	-80.27
4701 South Flamingo Road Cooper City, Fl 33330	Cooper City	Broward	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33330	26.06	-80.33
1200 North State Road 7 Margate, Fl 33063	Margate	Broward	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33063	26.25	-80.21
3501 West Davie Boulevard Fort Lauderdale, Fl 33302	Fort Lauderdale	Broward	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33302		
1802 North University Drive Plantation, Fl 33322	Plantation	Broward	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33322	26.14	-80.27
2900 W. Sample Rd., Pompano Beach	Pompano Beach	Broward	Drive-Thru	Call For More Information	No	Individuals Seeking Testing Must Be Prescreened To Ensure They Meet Cdc And Florida Department Of Health Testing Guidelines. Patients Must Have A Prescription From A Doctor And Be Preregistered For An Appointment Through The Broward Health Call Center. Those Who Don'T Have A Personal Physician Can Call The Number To Speak With A Nurse. To Be Tested, A Photo Id And Confirmation Number From Broward Health Are Required.	-	-	Festival Marketplace	954-320-5730	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605475	33073	26.3	-80.18
1150 G. Harold Martin Dr., Fort Lauderdale, Fl 33304	Fort Lauderdale	Broward	Drive-Thru	9Am-6Pm, Tuesday-Saturday By Appointment Only	-	"Anyone Over The Age Of 18 With Or Without Covid-19 Symptoms.

Even Though It Is A Drive-Thru Only Site, Everyone Must Wear A Mask Or Face Covering That Covers Your Mouth And Nose At All Times. You Will Also Have To Show A Photo Id (Which Has Your Name And Date Of Birth On It) Such As A Driver’S License. First Responders Should Be Prepared To Show A Badge Or Proper Identification.

City Officials Say First Responders Who Make An Appointment Should Use The Sunrise Boulevard Entrance To The Park.

To Make An Appointment, Call 800-209-7919"	-	-	Holiday Park	(800) 209-7919	Florida	Https://Www.Miamiherald.Com/News/Coronavirus/Article241422246.Html	33304	26.15	-80.12
